Country,Data.Smokers.Total,PopTotal,Smokers_Per_Capita
Myanmar,6729511.153846154,49391523.916666664,0.13624829971231864
Namibia,188768.92307692306,1997746.5833333333,0.09449092525136663
Nepal,4416412.230769231,17972769.833333332,0.24572796912907097
Netherlands,3095065.230769231,15185440.083333334,0.20381794757243793
New Zealand,644705.4615384615,3871129.5833333335,0.16654194794050828
Nicaragua,370304.6923076923,4706177.833333333,0.078684806529168
Niger,355413.6153846154,13269487.583333334,0.026784275817177745
Nigeria,3686711.0,122814430.5,0.03001854900104756
Norway,807014.4615384615,4380800.916666667,0.18421619171695103
Oman,138225.84615384616,2543917.6666666665,0.054335817532556216
Pakistan,16773808.23076923,153055616.0,0.10959289615853907
Panama,197925.23076923078,3425669.8333333335,0.05777708897784831
Papua New Guinea,1448749.7692307692,6185784.666666667,0.23420630482623264
Paraguay,496687.6923076923,4548577.583333333,0.10919626701051119
Peru,2120079.3846153845,19590951.25,0.10821727631093893
Philippines,13096407.615384616,76209262.0,0.17184797846992161
Poland,9418452.307692308,35487409.75,0.2654026420649737
Portugal,1942331.923076923,9718980.416666666,0.19984935042631638
Qatar,161208.84615384616,1075464.5,0.14989694792700842
Romania,4742266.0,17957125.5,0.26408825844648687
Russia,36839648.461538464,143985950.33333334,0.2558558552154094
Rwanda,527933.0,6614389.916666667,0.07981582680357809
Saint Lucia,12139.153846153846,155033.16666666666,0.0783003669934316
Saint Vincent and the Grenadines,7117.153846153846,92097.25,0.07727867928905419
Samoa,26767.76923076923,154761.33333333334,0.1729616090416807
Sao Tome and Principe,2935.4615384615386,143257.75,0.02049076952877969
Saudi Arabia,2321960.3846153845,24954931.583333332,0.09304615309649472
Senegal,520191.46153846156,8820899.75,0.058972607815711946
Serbia,2362384.153846154,9142635.166666666,0.25839204023575413
Seychelles,10406.846153846154,81961.91666666667,0.12697172756671934
Sierra Leone,518092.6153846154,5016808.583333333,0.10327135404484131
Singapore,388789.0,3159861.8333333335,0.12303987342062582
Slovakia,1037670.7692307692,5402024.666666667,0.1920892319566298
Slovenia,377877.3076923077,2014302.75,0.18759707680104576
Solomon Islands,77564.30769230769,487673.5,0.15904966682074725
Somalia,449631.0,10931263.0,0.041132575439818804
South Africa,5362489.692307692,45414187.0,0.11807961446734018
Spain,10048813.384615384,44754271.916666664,0.2245330547065199
Sri Lanka,1757545.1538461538,19747393.833333332,0.08900137246867693
Sudan,1307814.7692307692,32021301.666666668,0.04084202393908833
Suriname,22327.69230769231,471485.5833333333,0.04735604458961147
Sweden,1090018.2307692308,8485081.583333334,0.12846290516643694
Switzerland,1383369.3846153845,7536150.333333333,0.18356446241479143
